job_title,job_date,comp_name,comp_type,comp_size,eco_activity,qualif,region,city,salary,contract,positions,job_post_id,exper,gender
محاسب,27/05/1444,شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,"['Language data', 'اللغة الانجليزية', 'محترف']",الرياض,RIYADH,5000,دوام كامل,1,20202026350419,0,both
بائع,27/05/1444,شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,,المنطقة الشرقية,DAMMAM,5000,دوام كامل,3,20202026350389,0,both
أخصائي عمليات موارد بشرية,27/05/1444,شركه دار السلام,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,"['Language data', 'الانجليزيه', 'محترف']",الرياض,ATH THUMA,4000,دوام كامل,2,20202026350347,2,both
محاسب,27/05/1444,مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,"['Skill data', 'تحمل ضغط العمل', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'التسجيل في هيئة المحاسبين السعوديين', 'مفيد']",الرياض,RIYADH,5000,دوام كامل,1,20202026350043,0,both
مراقب كاميرات أمنية,27/05/1444,مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'اجادة الحاسب والتقنية ', 'متوسط', 'Language data', 'اللغة الانجليزية ', 'مبتدئ']",الرياض,RIYADH,4500,عمل عن بعد,1,20202026350031,0,both
سكرتير تنفيذي,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,RIYADH,6000,دوام كامل,2,20202026349999,4,F
مصمم جرافيك,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,RIYADH,5000,دوام كامل,2,20202026349583,4,F
أخصائي ذكاء أعمال,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,RIYADH,7200,دوام كامل,4,20202026349578,0,both
بائع,26/05/1444,شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,BATALI,4000,دوام كامل,5,20202026349573,0,both
محلل بيانات,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'انجليزية', 'متوسط']",الرياض,RIYADH,7200,دوام كامل,4,20202026349572,0,both
